Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Total_Spend,Channel_Purchases,Total_Purchases,Discount_Purchase_Rate,Spend_Per_Purchase,Customer_Tenure_Days,Customer_Tenure_Years,Dependents,Has_Children,Age,Age_Group,Income_Bracket,Recency_Group,Category_Breadth,Preferred_Channel,Is_High_Value,No_Purchase_Record,Customer_Segment
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,1208,21,22,0.045454545454545456,54.90909090909091,344,0.9,0,0,67,60+,Very High Income,Recent,6,Store,1,0,General Customers
5642,1979,Master,Together,62499.0,1,0,2013-09-12,0,140,4,61,0,13,4,2,3,1,6,4,0,0,222,10,12,0.16666666666666666,18.5,450,1.2,1,1,35,31-45,High Income,Recent,5,Store,0,0,Family Customers
10530,1959,PhD,Widow,67786.0,0,0,2013-07-12,0,431,82,441,80,20,102,1,3,6,6,1,1,0,1156,15,16,0.0625,72.25,512,1.4,0,0,55,46-60,High Income,Recent,6,Catalog,1,0,High-Value Active Catalog/Web
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,72,4,5,0.2,14.4,416,1.1,0,0,33,31-45,Low Income,Recent,6,Store,0,0,General Customers
10311,1969,Graduation,Married,4428.0,0,1,2013-05-10,0,16,4,12,2,4,321,0,25,0,0,1,0,0,359,25,25,0.0,14.36,575,1.6,1,1,45,31-45,Low Income,Recent,6,Web,0,0,Digital Shoppers
837,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,0,0,174,8,12,0.3333333333333333,14.5,392,1.1,2,1,37,31-45,High Income,Recent,6,Store,0,0,Bargain Hunters
10521,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,1,0,174,8,12,0.3333333333333333,14.5,392,1.1,2,1,37,31-45,High Income,Recent,6,Store,0,0,Bargain Hunters
10175,1958,PhD,Divorced,32173.0,0,1,2013-01-08,0,18,0,2,0,0,2,1,1,0,3,4,0,0,22,4,5,0.2,4.4,697,1.9,1,1,56,46-60,Low Income,Recent,3,Store,0,0,Family Customers
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,72,5,7,0.2857142857142857,10.285714285714286,501,1.4,1,1,54,46-60,Mid Income,Recent,6,Store,0,0,Bargain Hunters
2795,1958,Master,Single,30523.0,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,13,3,4,0.25,3.25,698,1.9,3,1,56,46-60,Low Income,Recent,3,Store,0,0,Bargain Hunters
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,335,12,15,0.2,22.333333333333332,557,1.5,1,1,60,46-60,Mid Income,Recent,6,Web,0,0,Digital Shoppers
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,393,14,17,0.17647058823529413,23.11764705882353,620,1.7,1,1,48,46-60,Mid Income,Recent,6,Store,0,0,Family Customers
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,92,6,8,0.25,11.5,631,1.7,1,1,35,31-45,Mid Income,Recent,5,Store,0,0,Bargain Hunters
4065,1976,PhD,Married,49544.0,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0,404,14,16,0.125,25.25,369,1.0,1,1,38,31-45,Mid Income,Recent,3,Store,0,0,Family Customers
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,704,22,26,0.15384615384615385,27.076923076923077,743,2.0,1,1,45,31-45,High Income,Recent,6,Web,0,0,Digital Shoppers
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,122,7,10,0.3,12.2,784,2.1,1,1,49,46-60,Low Income,Recent,5,Store,0,0,Bargain Hunters
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,684,19,31,0.3870967741935484,22.06451612903226,813,2.2,2,1,58,46-60,High Income,Recent,5,Web,0,0,Digital Shoppers
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,684,19,31,0.3870967741935484,22.06451612903226,813,2.2,2,1,58,46-60,High Income,Recent,5,Web,0,0,Digital Shoppers
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,45,5,7,0.2857142857142857,6.428571428571429,160,0.4,2,1,58,46-60,Low Income,Recent,4,Store,0,0,Bargain Hunters
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,726,15,16,0.0625,45.375,189,0.5,0,0,39,31-45,Very High Income,Recent,6,Store,0,0,General Customers
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,272,11,14,0.21428571428571427,19.428571428571427,190,0.5,2,1,43,31-45,High Income,Recent,6,Web,0,0,Digital Shoppers
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,1638,21,22,0.045454545454545456,74.45454545454545,223,0.6,0,0,28,18-30,Very High Income,Recent,6,Store,1,0,General Customers
5824,1972,PhD,Together,34578.0,2,1,2014-11-04,1,7,0,1,0,0,0,1,1,0,2,6,0,0,8,3,4,0.25,2.0,32,0.1,3,1,42,31-45,Low Income,Recent,2,Store,0,0,Bargain Hunters
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,1,0,446,15,18,0.16666666666666666,24.77777777777778,264,0.7,1,1,40,31-45,Mid Income,Recent,3,Web,0,0,Digital Shoppers
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,43,5,6,0.16666666666666666,7.166666666666667,403,1.1,0,0,24,18-30,Low Income,Recent,5,Store,0,0,General Customers
7962,1987,PhD,Single,95169.0,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,1901,11,12,0.08333333333333333,158.41666666666666,452,1.2,0,0,27,18-30,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
2681,1984,2n Cycle,Married,65370.0,0,0,2013-01-08,1,71,22,112,138,89,29,1,2,3,13,1,0,0,461,18,19,0.05263157894736842,24.263157894736842,697,1.9,0,0,30,18-30,High Income,Recent,6,Store,0,0,General Customers
10141,1960,Master,Divorced,39228.0,0,0,2013-10-05,1,7,1,6,0,3,3,1,0,0,3,4,0,0,20,3,4,0.25,5.0,427,1.2,0,0,54,46-60,Mid Income,Recent,5,Store,0,0,Bargain Hunters
3725,1961,PhD,Single,84865.0,0,0,2013-09-05,1,1248,16,349,43,16,16,1,2,4,9,4,1,0,1688,15,16,0.0625,105.5,457,1.3,0,0,53,46-60,Very High Income,Recent,6,Store,1,0,General Customers
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,1008,22,24,0.08333333333333333,42.0,590,1.6,1,1,46,46-60,High Income,Recent,5,Store,0,0,Family Customers
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,1,0,48,5,7,0.2857142857142857,6.857142857142857,595,1.6,1,1,42,31-45,Low Income,Recent,6,Store,0,0,Bargain Hunters
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,1485,32,35,0.08571428571428572,42.42857142857143,616,1.7,1,1,59,46-60,High Income,Recent,5,Store,1,0,Family Customers
1524,1983,2n Cycle,Single,81698.0,0,0,2013-01-03,1,709,45,115,30,160,45,1,8,2,5,5,1,0,1104,15,16,0.0625,69.0,702,1.9,0,0,31,31-45,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,165,8,11,0.2727272727272727,15.0,660,1.8,1,1,28,18-30,Mid Income,Recent,6,Web,0,0,Digital Shoppers
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,1,0,56,5,7,0.2857142857142857,8.0,660,1.8,2,1,44,31-45,Low Income,Recent,6,Catalog,0,0,Catalog Shoppers
9595,1961,Graduation,Together,64260.0,0,0,2013-11-01,1,539,169,816,20,0,30,1,4,5,4,3,1,0,1574,13,14,0.07142857142857142,112.42857142857143,400,1.1,0,0,53,46-60,High Income,Recent,5,Catalog,1,0,High-Value Active Catalog/Web
3158,1973,Graduation,Married,32300.0,1,0,2013-03-01,1,13,3,6,6,5,6,1,1,0,3,8,0,0,39,4,5,0.2,7.8,645,1.8,1,1,41,31-45,Low Income,Recent,6,Store,0,0,Family Customers
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,965,14,16,0.125,60.3125,717,2.0,1,1,49,46-60,Very High Income,Recent,5,Web,0,0,Digital Shoppers
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,497,17,19,0.10526315789473684,26.157894736842106,721,2.0,1,1,44,31-45,Very High Income,Recent,4,Store,0,0,Family Customers
8805,1960,Graduation,Single,48904.0,0,1,2012-02-12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,371,13,17,0.23529411764705882,21.823529411764707,1028,2.8,1,1,54,46-60,Mid Income,Recent,5,Web,0,0,Digital Shoppers
1241,1984,2n Cycle,Married,14796.0,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,1,0,51,4,6,0.3333333333333333,8.5,810,2.2,1,1,30,18-30,Low Income,Recent,6,Store,0,0,Bargain Hunters
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,1253,18,21,0.14285714285714285,59.666666666666664,757,2.1,0,0,60,46-60,High Income,Recent,6,Catalog,1,0,High-Value Active Catalog/Web
7264,1978,2n Cycle,Single,52195.0,2,1,2014-12-05,2,12,0,4,0,0,1,1,1,0,2,8,0,0,17,3,4,0.25,4.25,1,0.0,3,1,36,31-45,High Income,Recent,3,Store,0,0,Bargain Hunters
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,1,0,1588,16,17,0.058823529411764705,93.41176470588235,222,0.6,0,0,58,46-60,Very High Income,Recent,6,Catalog,1,0,High-Value Active Catalog/Web
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,50,6,8,0.25,6.25,252,0.7,1,1,40,31-45,Low Income,Recent,5,Web,0,0,Digital Shoppers
1857,1952,Graduation,Single,47139.0,1,1,2014-06-03,2,46,0,12,0,2,23,2,2,1,2,7,1,0,83,5,7,0.2857142857142857,11.857142857142858,186,0.5,2,1,62,60+,Mid Income,Recent,4,Web,0,0,Digital Shoppers
4877,1973,Master,Married,38576.0,0,1,2014-04-03,2,34,0,7,0,0,0,1,1,0,3,7,0,0,41,4,5,0.2,8.2,247,0.7,1,1,41,31-45,Mid Income,Recent,2,Store,0,0,Family Customers
3066,1975,PhD,Together,61905.0,0,1,2014-04-02,2,167,0,43,6,2,13,2,4,2,4,5,0,0,231,10,12,0.16666666666666666,19.25,248,0.7,1,1,39,31-45,High Income,Recent,5,Web,0,0,Digital Shoppers
10286,1962,Graduation,Married,83715.0,0,0,2014-03-02,2,318,8,407,150,35,8,1,2,8,13,0,0,0,926,23,24,0.041666666666666664,38.583333333333336,279,0.8,0,0,52,46-60,Very High Income,Recent,6,Store,0,0,General Customers
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,0,893,12,16,0.25,55.8125,339,0.9,1,1,50,46-60,High Income,Recent,5,Store,0,0,Bargain Hunters
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,373,2,2,0.0,186.5,359,1.0,0,0,32,31-45,Low Income,Recent,6,Web,0,0,Digital Shoppers
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,32,4,5,0.2,6.4,386,1.1,1,1,53,46-60,Mid Income,Recent,2,Store,0,0,Family Customers
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,88,7,11,0.36363636363636365,8.0,442,1.2,2,1,46,46-60,Mid Income,Recent,4,Store,0,0,Bargain Hunters
3112,1977,Master,Married,22701.0,1,0,2013-05-09,2,2,4,9,0,4,5,1,1,0,3,5,0,0,24,4,5,0.2,4.8,576,1.6,1,1,37,31-45,Low Income,Recent,5,Store,0,0,Family Customers
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,1,0,400,14,21,0.3333333333333333,19.047619047619047,462,1.3,2,1,40,31-45,High Income,Recent,6,Store,0,0,Bargain Hunters
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,1,0,36,4,5,0.2,7.2,494,1.4,1,1,28,18-30,Low Income,Recent,3,Store,0,0,Family Customers
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,789,21,23,0.08695652173913043,34.30434782608695,494,1.4,2,1,58,46-60,High Income,Recent,5,Store,0,0,Family Customers
5332,1960,2n Cycle,Married,82504.0,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,1066,16,17,0.058823529411764705,62.705882352941174,497,1.4,0,0,54,46-60,Very High Income,Recent,6,Store,1,0,General Customers
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,1,0,73,6,9,0.3333333333333333,8.11111111111111,532,1.5,2,1,42,31-45,Mid Income,Recent,6,Web,0,0,Digital Shoppers
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,73,6,9,0.3333333333333333,8.11111111111111,532,1.5,2,1,42,31-45,Mid Income,Recent,6,Web,0,0,Digital Shoppers
1772,1975,PhD,Married,79174.0,0,0,2013-11-01,2,1074,37,518,193,92,129,1,5,6,7,2,1,0,2043,18,19,0.05263157894736842,107.52631578947368,400,1.1,0,0,39,31-45,Very High Income,Recent,6,Store,1,0,General Customers
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-05-01,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1588,13,14,0.07142857142857142,113.42857142857143,584,1.6,1,1,52,46-60,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,441,13,16,0.1875,27.5625,745,2.0,1,1,37,31-45,Mid Income,Recent,5,Store,0,0,Family Customers
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,1,0,106,5,7,0.2857142857142857,15.142857142857142,755,2.1,1,1,44,31-45,Low Income,Recent,6,Store,0,0,Bargain Hunters
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,1410,20,21,0.047619047619047616,67.14285714285714,799,2.2,1,1,43,31-45,Very High Income,Recent,6,Store,1,0,Family Customers
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,1040,22,23,0.043478260869565216,45.21739130434783,800,2.2,0,0,49,46-60,Very High Income,Recent,6,Web,0,0,Digital Shoppers
10352,1963,Graduation,Widow,34213.0,1,1,2012-07-09,2,50,4,28,6,3,26,3,3,1,2,9,1,0,117,6,9,0.3333333333333333,13.0,880,2.4,2,1,51,46-60,Low Income,Recent,6,Web,0,0,Digital Shoppers
7919,1976,PhD,Together,72335.0,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,1,0,2092,22,23,0.043478260869565216,90.95652173913044,845,2.3,0,0,38,31-45,Very High Income,Recent,5,Web,1,0,High-Value Active Catalog/Web
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,1693,28,29,0.034482758620689655,58.37931034482759,758,2.1,0,0,50,46-60,Very High Income,Recent,6,Store,1,0,General Customers
7990,1947,Graduation,Married,27469.0,0,0,2012-02-08,2,9,1,2,3,2,0,1,0,0,3,6,0,0,17,3,4,0.25,4.25,1032,2.8,0,0,67,60+,Low Income,Recent,5,Store,0,0,Bargain Hunters
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,1091,15,16,0.0625,68.1875,164,0.4,0,0,45,31-45,Very High Income,Recent,6,Store,1,0,General Customers
4399,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,1091,15,16,0.0625,68.1875,164,0.4,0,0,45,31-45,Very High Income,Recent,6,Store,1,0,General Customers
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,0,372,13,17,0.23529411764705882,21.88235294117647,192,0.5,1,1,57,46-60,Mid Income,Recent,5,Web,0,0,Digital Shoppers
4785,1970,PhD,Together,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,714,20,22,0.09090909090909091,32.45454545454545,236,0.6,2,1,44,31-45,Very High Income,Recent,5,Store,0,0,Family Customers
8461,1962,Graduation,Divorced,46102.0,2,1,2014-10-03,3,14,0,1,0,0,1,1,1,0,2,7,0,0,16,3,4,0.25,4.0,64,0.2,3,1,52,46-60,Mid Income,Recent,3,Store,0,0,Bargain Hunters
3878,1980,2n Cycle,Single,31859.0,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,48,4,5,0.2,9.6,282,0.8,1,1,34,31-45,Low Income,Recent,6,Store,0,0,Family Customers
9612,1987,2n Cycle,Single,23830.0,0,0,2014-07-02,3,1,8,6,4,8,16,1,1,0,3,7,0,0,43,4,5,0.2,8.6,157,0.4,0,0,27,18-30,Low Income,Recent,6,Store,0,0,General Customers
4098,1973,Graduation,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,44,6,9,0.3333333333333333,4.888888888888889,312,0.9,2,1,41,31-45,Low Income,Recent,5,Store,0,0,Bargain Hunters
158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,1196,16,17,0.058823529411764705,70.3529411764706,384,1.1,0,0,69,60+,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
3896,1984,Graduation,Married,27255.0,1,0,2013-07-11,3,22,1,11,0,1,2,1,1,0,3,7,0,0,37,4,5,0.2,7.4,513,1.4,1,1,30,18-30,Low Income,Recent,5,Store,0,0,Family Customers
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,162,8,9,0.1111111111111111,18.0,415,1.1,1,1,37,31-45,High Income,Recent,6,Store,0,0,Family Customers
4002,1960,PhD,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,1123,26,27,0.037037037037037035,41.592592592592595,419,1.1,1,1,54,46-60,Very High Income,Recent,6,Store,1,0,Family Customers
10914,1970,Graduation,Single,24163.0,1,1,2013-12-10,3,4,1,7,2,1,2,2,1,0,3,4,0,0,17,4,6,0.3333333333333333,2.8333333333333335,361,1.0,2,1,44,31-45,Low Income,Recent,6,Store,0,0,Bargain Hunters
7279,1969,PhD,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,1044,14,15,0.06666666666666667,69.6,432,1.2,0,0,45,31-45,Very High Income,Recent,6,Catalog,0,0,Catalog Shoppers
10582,1979,Graduation,Married,72063.0,0,1,2013-03-07,3,180,32,348,76,32,90,2,5,2,12,2,0,0,758,19,21,0.09523809523809523,36.095238095238095,639,1.8,1,1,35,31-45,Very High Income,Recent,6,Store,0,0,Family Customers
4470,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,140,7,8,0.125,17.5,426,1.2,1,1,52,46-60,High Income,Recent,6,Store,0,0,Family Customers
6183,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,140,7,8,0.125,17.5,426,1.2,1,1,52,46-60,High Income,Recent,6,Store,0,0,Family Customers
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,1,0,121,6,9,0.3333333333333333,13.444444444444445,556,1.5,2,1,65,60+,Mid Income,Recent,5,Web,0,0,Digital Shoppers
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,1395,19,21,0.09523809523809523,66.42857142857143,586,1.6,1,1,34,31-45,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
4827,1956,PhD,Single,54998.0,0,1,2013-10-03,3,154,22,202,39,30,8,5,4,2,9,4,1,0,455,15,20,0.25,22.75,429,1.2,1,1,58,46-60,High Income,Recent,6,Store,0,0,Bargain Hunters
6715,1948,PhD,Single,60200.0,0,1,2013-02-01,3,502,19,132,0,6,26,6,6,2,11,6,0,0,685,19,25,0.24,27.4,673,1.8,1,1,66,60+,High Income,Recent,5,Store,0,0,Family Customers
10676,1982,Graduation,Married,63211.0,0,0,2012-02-11,3,145,193,459,205,26,145,2,3,8,7,2,1,0,1173,18,20,0.1,58.65,1029,2.8,0,0,32,31-45,High Income,Recent,6,Catalog,1,0,High-Value Active Catalog/Web
1041,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,424,14,19,0.2631578947368421,22.31578947368421,779,2.1,1,1,41,31-45,Mid Income,Recent,6,Web,0,0,Digital Shoppers
492,1973,PhD,Other,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,424,14,19,0.2631578947368421,22.31578947368421,779,2.1,1,1,41,31-45,Mid Income,Recent,6,Web,0,0,Digital Shoppers
11133,1973,PhD,Other,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,424,14,19,0.2631578947368421,22.31578947368421,779,2.1,1,1,41,31-45,Mid Income,Recent,6,Web,0,0,Digital Shoppers
4491,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,1178,17,28,0.39285714285714285,42.07142857142857,1061,2.9,2,1,65,60+,High Income,Recent,3,Store,1,0,Bargain Hunters
873,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,1,0,1178,17,28,0.39285714285714285,42.07142857142857,1061,2.9,2,1,65,60+,High Income,Recent,3,Store,1,0,Bargain Hunters
1631,1965,PhD,Together,65220.0,0,0,2012-03-09,3,890,63,292,0,25,12,4,8,4,7,6,1,0,1282,19,23,0.17391304347826086,55.73913043478261,1002,2.7,0,0,49,46-60,High Income,Recent,5,Web,1,0,High-Value Active Catalog/Web
8278,1990,PhD,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,1711,15,16,0.0625,106.9375,832,2.3,0,0,24,18-30,Very High Income,Recent,6,Web,1,0,High-Value Active Catalog/Web
6815,1980,2n Cycle,Married,96547.0,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,809,21,21,0.0,38.523809523809526,197,0.5,0,0,34,31-45,Very High Income,Recent,6,Store,0,0,General Customers
254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,473,15,18,0.16666666666666666,26.27777777777778,203,0.6,1,1,59,46-60,High Income,Recent,6,Web,0,0,Digital Shoppers
